Data Responden,Bisakah anda membedakan ms office dengan libre office?,Mampukah anda membuat laporan (dokumen/presentasi) menggunakan libre office?,Menurut anda Microsoft powerpoint bisa memasukkan gambar/video?,Apakah bisa menggunakan simbol matematika di microsoft excel?,Apakah microsoft office sangat menunjang pendidikan di kampus?,Apakah anda sering menggunakan microsoft office?,Seberapa familiar anda menggunakan ms office?,Bisakah anda membedakan antara file docx dan odt?
Responden 136,5,4,5,5,5,5,5,4
Responden 137,4,4,4,4,4,4,4,4
Responden 138,3,3,3,3,4,4,4,4
Responden 139,4,4,4,4,4,4,4,4
Responden 140,4,5,5,4,5,5,5,4
Responden 141,2,4,5,5,5,4,4,3
Responden 142,3,4,5,4,5,4,5,4
Responden 143,4,4,3,3,5,5,4,5
Responden 144,5,5,5,5,2,4,3,2
Responden 145,5,1,4,4,4,4,4,4
Responden 146,3,2,5,4,5,5,4,4
Responden 147,3,3,5,4,5,5,5,3
Responden 148,2,2,5,4,5,5,5,2
Responden 149,3,3,5,5,5,5,5,5
Responden 150,4,4,5,5,5,5,5,5
Responden 151,3,5,5,3,2,4,3,2
Responden 152,5,3,5,5,5,5,5,4
Responden 153,3,2,5,5,5,5,5,3
Responden 154,4,4,4,3,5,5,4,4
Responden 155,2,3,5,5,5,5,5,3
Responden 156,4,3,5,4,5,5,5,3
Responden 157,4,3,5,5,5,4,4,4
Responden 158,2,2,5,5,5,4,5,3
Responden 159,5,3,5,5,5,5,5,5
Responden 160,3,3,5,3,5,5,5,5
Responden 161,3,3,5,5,5,5,5,3
Responden 162,3,2,4,4,5,5,4,3
Responden 163,3,3,5,5,4,5,5,2
Responden 164,4,4,4,4,4,4,4,4
Responden 165,4,2,5,5,5,4,5,3
Responden 166,3,3,3,2,4,3,2,4
Responden 167,2,3,5,4,3,3,3,2
Responden 168,3,3,4,3,5,4,5,3
Responden 169,3,4,4,3,4,3,3,4
Responden 170,3,3,4,5,5,5,5,4
Responden 171,5,4,5,4,5,5,5,4
Responden 172,4,4,4,4,4,4,4,4
Responden 173,5,2,4,5,5,5,4,5
Responden 174,4,3,5,3,5,5,4,4
Responden 175,4,4,4,4,5,5,4,3
Responden 176,4,3,4,4,4,3,4,4
Responden 177,4,2,5,4,5,5,4,3
Responden 178,3,3,4,1,5,3,3,3
Responden 179,3,3,5,3,2,3,3,3
Responden 180,5,4,5,5,5,5,5,3
Responden 181,5,5,5,5,5,5,5,5
Responden 182,4,3,4,3,4,4,4,4
